	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																			
rtr_kume_main	-0.6487***	-0.6616**	-0.5099	-1.9147***	-2.6806***	-3.2339***	-3.5010***	-3.4693***	-3.5446***	-3.7738***	-4.3032***	-4.3845***	-4.6654***	-4.5191***	-4.5277***	-4.6109***	-4.6412***	-4.8178***	-4.6747***
	(0.241)	(0.293)	(0.330)	(0.410)	(0.516)	(0.532)	(0.516)	(0.544)	(0.563)	(0.609)	(0.607)	(0.647)	(0.686)	(0.669)	(0.657)	(0.662)	(0.656)	(0.660)	(0.660)
state2	-0.2056***	-0.1373***	-0.0801	-0.1177***	0.0762	0.2803	0.1187	-0.1218***	-0.0706	-0.0273	-0.0770**	-0.0318	-0.0290	0.0851	0.1567***	0.1656***	0.2277***	0.2038***	0.1814***
	(0.020)	(0.045)	(0.150)	(0.040)	(0.112)	(0.284)	(0.137)	(0.018)	(0.051)	(0.019)	(0.038)	(0.047)	(0.037)	(0.059)	(0.016)	(0.047)	(0.017)	(0.020)	(0.019)
state3	-0.0417	-0.0743	-0.1133	-0.2431	-0.2955***	-0.2138	-0.5179*	-0.4788*	-0.6504***	-0.6765***	-0.2703***	-0.3602***	-0.3214***	-0.3599***	-0.4308***	-0.3643***	-0.5285***	-0.5105***	-0.4774***
	(0.055)	(0.114)	(0.195)	(0.217)	(0.078)	(0.150)	(0.297)	(0.265)	(0.216)	(0.250)	(0.027)	(0.097)	(0.036)	(0.055)	(0.112)	(0.114)	(0.146)	(0.079)	(0.096)
state4	2.1140***	2.3215***	1.0571***	0.3147***	0.8802***	0.5653***	0.7548***	0.4780***	0.8139***	0.8412***	1.0061***	0.9597***	1.1595***	1.1851***	1.1745***	1.3302***	1.4725***	1.4887***	1.6544***
	(0.003)	(0.004)	(0.004)	(0.005)	(0.006)	(0.007)	(0.006)	(0.007)	(0.007)	(0.008)	(0.008)	(0.008)	(0.009)	(0.008)	(0.008)	(0.008)	(0.008)	(0.008)	(0.008)
state5	0.0278	-0.1093*	-0.1459**	-0.3844**	-0.3386**	-0.5454***	-0.4890***	-0.4594***	-0.4571***	-0.4164***	-0.3310***	-0.2776***	-0.2260***	-0.2471***	-0.2228***	-0.2318***	-0.2874*	-0.4033***	-0.4001***
	(0.033)	(0.062)	(0.063)	(0.155)	(0.139)	(0.142)	(0.048)	(0.063)	(0.034)	(0.037)	(0.012)	(0.009)	(0.014)	(0.046)	(0.069)	(0.070)	(0.148)	(0.148)	(0.140)
state6	0.2878***	0.1875***	0.5800***	0.8819***	1.1535*	0.8042	1.1557**	1.5737**	1.5469**	1.5300*	1.3554**	1.4589**	1.7155**	1.7754***	1.5214***	1.6613***	1.6000***	1.4098***	1.2825***
	(0.020)	(0.027)	(0.036)	(0.196)	(0.609)	(0.599)	(0.504)	(0.608)	(0.608)	(0.833)	(0.623)	(0.574)	(0.706)	(0.659)	(0.460)	(0.521)	(0.532)	(0.484)	(0.414)
o.state7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																			
state8	-0.0014	-0.2091***	-0.1868***	-0.2367***	-0.1705***	-0.4078***	-0.2769***	-0.3122***	-0.3343***	-0.2220***	-0.2326***	-0.3039***	-0.1753***	-0.1430***	-0.1051***	-0.0761***	-0.1220***	-0.1578***	-0.1519***
	(0.007)	(0.024)	(0.007)	(0.011)	(0.011)	(0.032)	(0.012)	(0.018)	(0.010)	(0.009)	(0.014)	(0.030)	(0.018)	(0.013)	(0.010)	(0.011)	(0.011)	(0.022)	(0.018)
state9	-0.0192***	-0.1689***	-0.3365***	-0.5088***	-0.3530***	0.1346***	-0.1507***	-0.0903***	-0.2281***	-0.3134***	-0.2860***	-0.2283***	-0.1760***	-0.1537***	-0.1067***	-0.2219***	-0.1264***	-0.1638***	-0.1610***
	(0.005)	(0.006)	(0.007)	(0.009)	(0.011)	(0.011)	(0.011)	(0.011)	(0.012)	(0.013)	(0.013)	(0.014)	(0.014)	(0.014)	(0.014)	(0.014)	(0.014)	(0.014)	(0.014)
state10	0.1048**	0.0007	-0.1912***	-0.0562	0.1940***	-0.0162	0.0344	0.0384	0.0843	0.0176	0.1343*	0.0755	0.0525	0.0363	0.0588	0.0226	-0.0368	-0.0734	-0.0413
	(0.045)	(0.038)	(0.067)	(0.056)	(0.065)	(0.046)	(0.070)	(0.068)	(0.088)	(0.070)	(0.075)	(0.071)	(0.079)	(0.099)	(0.105)	(0.093)	(0.112)	(0.105)	(0.099)
state11	0.0286***	-0.1010	-0.1890***	0.0395	0.0624	-0.0328	0.0825	-0.0803	-0.0785	-0.0308	0.0802	0.0973	0.1395	0.0844	0.0985	0.0154	-0.0142	-0.0755	-0.1104
	(0.010)	(0.122)	(0.065)	(0.102)	(0.257)	(0.155)	(0.151)	(0.215)	(0.209)	(0.180)	(0.175)	(0.178)	(0.205)	(0.232)	(0.190)	(0.190)	(0.200)	(0.199)	(0.206)
state12	0.1026***	-0.2429***	-0.4871***	-0.0619	-0.0923	-0.2301**	-0.1346	-0.1926**	-0.3047***	-0.3476***	-0.3440***	-0.4077***	-0.4138***	-0.3987***	-0.3830***	-0.3939***	-0.3369***	-0.4675***	-0.4036***
	(0.007)	(0.021)	(0.067)	(0.063)	(0.088)	(0.106)	(0.090)	(0.083)	(0.095)	(0.074)	(0.086)	(0.085)	(0.070)	(0.084)	(0.078)	(0.085)	(0.111)	(0.081)	(0.128)
