	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)
state14	-0.0013**	0.0016**	0.0017***	-0.0008	0.0027	0.0019	-0.0017	-0.0006	0.0001	-0.0019*	0.0032	0.0026	0.0038	0.0011	0.0026	0.0070	0.0026	-0.0019	0.0147	0.0128
	(0.001)	(0.001)	(0.000)	(0.001)	(0.003)	(0.003)	(0.002)	(0.002)	(0.002)	(0.001)	(0.003)	(0.002)	(0.003)	(0.003)	(0.005)	(0.009)	(0.007)	(0.008)	(0.013)	(0.021)
state15	0.0071*	0.0113**	0.0174*	0.0137	0.0148*	0.0110*	0.0097	0.0179*	0.0175*	0.0136*	0.0187**	0.0221*	0.0215*	0.0066	0.0079	0.0126	0.0073	-0.0003	0.0236*	0.0357
	(0.004)	(0.005)	(0.009)	(0.009)	(0.008)	(0.006)	(0.006)	(0.010)	(0.010)	(0.008)	(0.009)	(0.011)	(0.011)	(0.005)	(0.007)	(0.010)	(0.006)	(0.004)	(0.014)	(0.024)
state16	0.0011	0.0030*	0.0035	0.0003	0.0002	-0.0015	-0.0039	-0.0001	-0.0001	-0.0025***	0.0013	0.0030	0.0037	-0.0014	-0.0011	-0.0012	-0.0033*	-0.0094**	0.0018	-0.0031
	(0.001)	(0.002)	(0.003)	(0.003)	(0.003)	(0.002)	(0.002)	(0.003)	(0.003)	(0.001)	(0.002)	(0.003)	(0.003)	(0.001)	(0.002)	(0.002)	(0.002)	(0.004)	(0.003)	(0.005)
state17	-0.0001	-0.0004	-0.0019***	-0.0026**	-0.0023**	-0.0018*	-0.0024	-0.0022*	-0.0031**	-0.0031***	-0.0024***	-0.0027***	-0.0019**	-0.0024	-0.0004	0.0011	0.0037	0.0072	0.0079	0.0175
	(0.000)	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.002)	(0.004)	(0.005)	(0.007)	(0.013)	(0.009)	(0.023)
state18	0.0025***	0.0013	0.0023	0.0072***	0.0067***	0.0044***	0.0084***	0.0077***	0.0069***	0.0027***	0.0020**	0.0021*	0.0028**	-0.0002	0.0022***	0.0047***	0.0044***	0.0044***	0.0097***	0.0102***
	(0.001)	(0.001)	(0.001)	(0.002)	(0.002)	(0.001)	(0.001)	(0.002)	(0.002)	(0.001)	(0.001)	(0.001)	(0.001)	(0.000)	(0.000)	(0.001)	(0.000)	(0.001)	(0.001)	(0.003)
state19	0.0056	0.0097	0.0142	0.0116	0.0115	0.0074	0.0069	0.0135	0.0141	0.0114	0.0160	0.0195	0.0199	0.0072	0.0074	0.0106	0.0061	-0.0027	0.0171	0.0174
	(0.006)	(0.008)	(0.014)	(0.014)	(0.014)	(0.011)	(0.012)	(0.018)	(0.017)	(0.014)	(0.016)	(0.019)	(0.019)	(0.010)	(0.013)	(0.017)	(0.013)	(0.013)	(0.025)	(0.043)
state20	-0.0023***	-0.0006	-0.0028*	-0.0050***	-0.0060***	-0.0067***	-0.0091***	-0.0098***	-0.0079***	-0.0075***	-0.0056**	-0.0053**	-0.0036	-0.0048**	-0.0066**	-0.0069**	-0.0092***	-0.0195***	-0.0101*	-0.0307***
	(0.001)	(0.001)	(0.001)	(0.002)	(0.002)	(0.002)	(0.002)	(0.002)	(0.002)	(0.002)	(0.002)	(0.002)	(0.002)	(0.002)	(0.003)	(0.003)	(0.003)	(0.006)	(0.006)	(0.010)
state21	-0.0024***	-0.0006	-0.0031**	-0.0031***	-0.0029**	-0.0038***	-0.0019**	-0.0008	-0.0010	-0.0002	0.0040***	0.0042***	0.0079***	0.0090***	0.0077***	0.0081***	0.0109***	0.0149***	0.0217***	0.0142**
	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.002)	(0.002)	(0.002)	(0.002)	(0.003)	(0.005)	(0.005)	(0.005)
state22	-0.0020***	0.0005	-0.0006	-0.0023*	-0.0008	0.0008	-0.0010	-0.0017	-0.0002	0.0021	0.0037	0.0022	0.0033	0.0029	-0.0031	-0.0049	-0.0016	-0.0072	-0.0018	-0.0212
	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.002)	(0.002)	(0.002)	(0.002)	(0.002)	(0.003)	(0.002)	(0.002)	(0.002)	(0.004)	(0.005)	(0.005)	(0.010)	(0.007)	(0.013)
state23	-0.0047***	-0.0004	-0.0004	-0.0028***	-0.0053***	-0.0018***	0.0015**	0.0013	-0.0012	0.0013	0.0063***	0.0070***	0.0132***	0.0180***	0.0152***	0.0152***	0.0199***	0.0308***	0.0351***	0.0209***
	(0.002)	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.002)	(0.002)	(0.004)
state24	-0.0017***	0.0004***	-0.0026***	-0.0056***	-0.0065***	-0.0054***	-0.0066***	-0.0044***	-0.0041***	-0.0017***	0.0014***	0.0022***	0.0041***	0.0033***	0.0026***	0.0019**	0.0012	-0.0000	0.0053***	-0.0024
	(0.001)	(0.000)	(0.000)	(0.000)	(0.001)	(0.001)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.001)	(0.000)	(0.000)	(0.001)	(0.002)	(0.004)	(0.001)	(0.007)
state25	-0.0025***	-0.0010***	-0.0011***	-0.0028***	-0.0024	-0.0003	0.0015*	0.0019*	0.0004	0.0029***	0.0052***	0.0056**	0.0078*	0.0091*	0.0063	0.0064	0.0079	0.0151	0.0175	0.0112
	(0.001)	(0.000)	(0.000)	(0.000)	(0.002)	(0.001)	(0.001)	(0.001)	(0.000)	(0.001)	(0.002)	(0.002)	(0.004)	(0.005)	(0.005)	(0.006)	(0.007)	(0.012)	(0.013)	(0.012)
state26	-0.0012**	0.0005	-0.0009*	-0.0042***	-0.0035***	-0.0013***	-0.0031***	-0.0018***	-0.0025***	-0.0007**	0.0013**	0.0011	0.0017	0.0006	0.0009	0.0017	0.0032	0.0067	0.0081	0.0127
	(0.000)	(0.000)	(0.000)	(0.001)	(0.001)	(0.000)	(0.000)	(0.001)	(0.000)	(0.000)	(0.001)	(0.001)	(0.001)	(0.002)	(0.004)	(0.005)	(0.006)	(0.012)	(0.009)	(0.023)
state27	-0.0030***	-0.0015	-0.0036	-0.0060**	-0.0068***	-0.0043**	-0.0049*	-0.0051	-0.0038	0.0008	0.0021	0.0002	-0.0001	0.0025	-0.0035	-0.0052	-0.0049	-0.0073	-0.0104	-0.0327**
	(0.001)	(0.001)	(0.002)	(0.002)	(0.002)	(0.002)	(0.003)	(0.003)	(0.003)	(0.003)	(0.003)	(0.003)	(0.003)	(0.002)	(0.003)	(0.004)	(0.005)	(0.008)	(0.007)	(0.015)
Constant	-0.0006	-0.0021***	-0.0016**	0.0019**	0.0002	-0.0009	0.0027***	0.0008	0.0015	0.0016**	0.0009	0.0007	0.0012	0.0073***	0.0094***	0.0100***	0.0122***	0.0163***	0.0101***	0.0203***
	(0.000)	(0.000)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.003)	(0.002)	(0.004)
																				
Observations	475	475	475	475	475	475	475	475	475	475	475	475	475	475	475	475	475	475	475	475
R-squared	0.172	0.233	0.172	0.129	0.213	0.254	0.306	0.206	0.165	0.185	0.169	0.137	0.161	0.223	0.159	0.123	0.097	0.094	0.102	0.078
Robust standard errors in parentheses																				
*** p<0.01, ** p<0.05, * p<0.1																				
