	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
state8	-0.1224***	-0.0862***	-0.1105***	-0.0966***	-0.1082***	-0.1102***	-0.0640***	-0.0557***	0.0087	-0.0056	0.0053	0.0184	0.0555***	0.0910***	0.0259	-0.0117
	(0.014)	(0.016)	(0.017)	(0.018)	(0.016)	(0.017)	(0.018)	(0.020)	(0.019)	(0.019)	(0.018)	(0.019)	(0.019)	(0.018)	(0.016)	(0.016)
state9	0.0496***	0.0297**	0.0164	0.0108	0.0153	0.0124	0.0147	0.0138	0.0511*	0.0696***	0.0878***	0.1034***	0.1028***	0.1421***	0.1190***	0.0766***
	(0.013)	(0.014)	(0.017)	(0.023)	(0.021)	(0.023)	(0.025)	(0.026)	(0.028)	(0.026)	(0.027)	(0.026)	(0.027)	(0.022)	(0.025)	(0.025)
state10	-0.0478***	-0.0308**	-0.0076	0.0197	0.0082	0.0151	0.0455*	0.0319	0.0819***	0.0783***	0.0988***	0.1093***	0.1353***	0.1379***	0.1289***	0.0777**
	(0.014)	(0.015)	(0.026)	(0.028)	(0.030)	(0.027)	(0.026)	(0.027)	(0.030)	(0.027)	(0.029)	(0.029)	(0.031)	(0.029)	(0.032)	(0.032)
state11	-0.1051***	-0.0518**	-0.0328	-0.0165	-0.0189	-0.0116	0.0187	0.0203	0.0730**	0.0826***	0.0945***	0.1085***	0.1308***	0.1407***	0.1190***	0.0887***
	(0.016)	(0.021)	(0.025)	(0.027)	(0.027)	(0.027)	(0.028)	(0.031)	(0.032)	(0.029)	(0.032)	(0.033)	(0.033)	(0.032)	(0.033)	(0.033)
state12	-0.0548***	-0.0857***	-0.0508**	-0.0463*	-0.0317	-0.0415	-0.0335	-0.0400	-0.0054	-0.0133	0.0085	0.0421	0.0497*	0.0860***	0.0587**	0.0064
	(0.014)	(0.015)	(0.020)	(0.024)	(0.024)	(0.026)	(0.025)	(0.026)	(0.027)	(0.025)	(0.028)	(0.029)	(0.029)	(0.029)	(0.029)	(0.030)
state13	-0.0770***	-0.0442***	-0.0547**	-0.0653***	-0.0656***	-0.0548**	-0.0490**	-0.0495**	0.0007	-0.0212	-0.0193	-0.0049	0.0038	0.0197	-0.0088	-0.0464
	(0.013)	(0.013)	(0.022)	(0.024)	(0.023)	(0.023)	(0.022)	(0.022)	(0.020)	(0.019)	(0.024)	(0.022)	(0.022)	(0.025)	(0.027)	(0.032)
state14	-0.0661**	-0.1110***	-0.0933***	-0.0968***	-0.0606***	-0.0727***	-0.0669***	-0.0752***	-0.0030	-0.0003	-0.0024	0.0265	0.0231	0.0297	0.0222	-0.0278
	(0.026)	(0.007)	(0.020)	(0.017)	(0.015)	(0.017)	(0.018)	(0.018)	(0.018)	(0.015)	(0.019)	(0.018)	(0.020)	(0.019)	(0.019)	(0.021)
state15	-0.1450***	-0.1742***	-0.1369***	-0.1171***	-0.1438***	-0.1423***	-0.1179***	-0.1354***	-0.0970**	-0.1024***	-0.0726**	-0.0483	-0.0114	-0.0058	-0.0168	-0.0743
	(0.012)	(0.011)	(0.020)	(0.024)	(0.024)	(0.028)	(0.026)	(0.037)	(0.040)	(0.033)	(0.036)	(0.044)	(0.045)	(0.050)	(0.048)	(0.055)
state16	-0.1350***	-0.1186***	-0.1184***	-0.1211***	-0.1287***	-0.1102***	-0.0918***	-0.1077***	-0.0530*	-0.0560**	-0.0430	-0.0404	-0.0286	-0.0174	-0.0465*	-0.0937***
	(0.021)	(0.023)	(0.030)	(0.024)	(0.025)	(0.023)	(0.026)	(0.027)	(0.028)	(0.027)	(0.027)	(0.027)	(0.027)	(0.026)	(0.026)	(0.028)
state17	-0.0943***	-0.1012***	-0.0739***	-0.0880***	-0.0853***	-0.0708***	-0.0692***	-0.0750***	-0.0392*	-0.0398*	-0.0315	-0.0338	-0.0079	0.0082	-0.0239	-0.0640**
	(0.019)	(0.018)	(0.019)	(0.020)	(0.021)	(0.022)	(0.023)	(0.023)	(0.023)	(0.021)	(0.022)	(0.024)	(0.025)	(0.024)	(0.025)	(0.026)
state18	-0.0645*	-0.0700**	-0.0596*	-0.0578**	-0.0578**	-0.0783***	-0.0697***	-0.0721***	-0.0365*	-0.0401**	-0.0258	-0.0031	0.0190	0.0377*	-0.0023	-0.0449**
	(0.035)	(0.027)	(0.030)	(0.025)	(0.026)	(0.028)	(0.023)	(0.019)	(0.021)	(0.020)	(0.022)	(0.022)	(0.021)	(0.022)	(0.022)	(0.022)
state19	-0.0844***	-0.0582**	-0.0226	-0.0223	-0.0126	0.0098	0.0335	0.0232	0.0580	0.0590	0.0491	0.0426	0.0705	0.0812*	0.0424	-0.0026
	(0.027)	(0.027)	(0.034)	(0.040)	(0.041)	(0.040)	(0.041)	(0.042)	(0.043)	(0.044)	(0.043)	(0.045)	(0.046)	(0.047)	(0.047)	(0.047)
state20	0.0003	0.0093	0.0268	0.0096	0.0076	0.0030	-0.0170	-0.0319	-0.0058	-0.0118	-0.0295	-0.0530	-0.0270	-0.0122	-0.0628*	-0.1186***
	(0.019)	(0.020)	(0.027)	(0.030)	(0.031)	(0.031)	(0.033)	(0.034)	(0.035)	(0.033)	(0.036)	(0.036)	(0.037)	(0.034)	(0.035)	(0.036)
state21	-0.0551***	-0.0335	-0.0051	-0.0150	-0.0229	-0.0143	-0.0334	-0.0418	0.0031	0.0030	-0.0015	-0.0142	0.0054	0.0270	-0.0035	-0.0436
	(0.021)	(0.022)	(0.029)	(0.032)	(0.033)	(0.034)	(0.036)	(0.037)	(0.039)	(0.037)	(0.040)	(0.043)	(0.045)	(0.042)	(0.044)	(0.045)
state22	-0.0164	-0.0216	0.0003	-0.0268	-0.0526	-0.0565	-0.0566	-0.0650	-0.0160	-0.0178	-0.0187	-0.0328	-0.0188	0.0024	-0.0397	-0.0719
	(0.026)	(0.031)	(0.035)	(0.040)	(0.042)	(0.043)	(0.047)	(0.048)	(0.049)	(0.047)	(0.050)	(0.053)	(0.053)	(0.049)	(0.051)	(0.050)
state23	-0.0478***	-0.0439***	-0.0241	-0.0235	-0.0226	-0.0278	-0.0198	-0.0286	0.0119	0.0165	-0.0058	-0.0461*	-0.0314	-0.0074	-0.0534*	-0.1073***
	(0.014)	(0.016)	(0.019)	(0.021)	(0.022)	(0.023)	(0.025)	(0.026)	(0.027)	(0.025)	(0.028)	(0.028)	(0.029)	(0.026)	(0.028)	(0.028)
state24	0.0215	0.0200	0.0356*	0.0385*	0.0250	0.0278	0.0185	0.0163	0.0446*	0.0525**	0.0429	0.0245	0.0354	0.0761***	0.0393	-0.0018
	(0.014)	(0.016)	(0.021)	(0.023)	(0.023)	(0.023)	(0.024)	(0.025)	(0.026)	(0.025)	(0.026)	(0.026)	(0.027)	(0.024)	(0.026)	(0.026)
state25	0.0115	-0.0288*	0.0362*	0.0488**	0.0552***	0.0694***	0.0777***	0.0806***	0.1374***	0.1467***	0.1420***	0.1365***	0.1533***	0.1690***	0.1307***	0.0757***
	(0.026)	(0.015)	(0.020)	(0.019)	(0.018)	(0.019)	(0.020)	(0.020)	(0.024)	(0.025)	(0.022)	(0.022)	(0.024)	(0.022)	(0.024)	(0.023)
state26	-0.1215***	-0.1299***	-0.1334***	-0.1210***	-0.1080***	-0.1034***	-0.0682**	-0.0633*	-0.0233	-0.0303	-0.0208	-0.0183	0.0062	0.0273	-0.0042	-0.0511
	(0.015)	(0.016)	(0.024)	(0.026)	(0.028)	(0.027)	(0.030)	(0.032)	(0.030)	(0.030)	(0.033)	(0.037)	(0.036)	(0.031)	(0.033)	(0.034)
state27	0.0627**	0.0326	0.0261	0.1601***	0.0993**	-0.0033	-0.0194	-0.0203	0.0052	-0.0096	-0.0095	-0.0252	-0.0120	-0.0028	-0.0471	-0.0841*
	(0.030)	(0.033)	(0.037)	(0.039)	(0.041)	(0.043)	(0.043)	(0.044)	(0.047)	(0.046)	(0.048)	(0.048)	(0.050)	(0.042)	(0.045)	(0.044)
control		0.2467*	0.2297	0.2660	0.1193	0.0950	0.2490	0.3779	0.4297*	0.3492*	0.2860	0.2802	0.2134	0.2713	0.2216	0.1760
		(0.128)	(0.231)	(0.241)	(0.189)	(0.178)	(0.198)	(0.235)	(0.245)	(0.199)	(0.215)	(0.221)	(0.220)	(0.226)	(0.228)	(0.227)
Constant	-0.1307***	-0.1802***	-0.1810***	-0.1686***	-0.1967***	-0.1946***	-0.2252***	-0.2201***	-0.3416***	-0.3343***	-0.3504***	-0.3477***	-0.3603***	-0.3580***	-0.3290***	-0.2661***
	(0.004)	(0.004)	(0.015)	(0.016)	(0.014)	(0.015)	(0.019)	(0.021)	(0.021)	(0.018)	(0.020)	(0.021)	(0.021)	(0.021)	(0.022)	(0.024)
																
Observations	475	475	475	475	475	475	475	475	475	475	475	475	475	475	475	475
R-squared	0.335	0.360	0.308	0.281	0.272	0.269	0.295	0.315	0.368	0.393	0.422	0.490	0.487	0.510	0.534	0.539
Robust standard errors in parentheses																
*** p<0.01, ** p<0.05, * p<0.1																
