	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
VARIABLES	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																
rtr_kume_main	-0.0962	-0.0242	-0.1038	-0.2976**	-0.3593**	-0.5135***	-0.7570***	-0.8188***	-0.9986***	-1.0710***	-1.2430***	-1.4535***	-1.5332***	-1.5567***	-1.6007***	-1.5582***
	(0.120)	(0.107)	(0.143)	(0.142)	(0.144)	(0.149)	(0.133)	(0.138)	(0.143)	(0.142)	(0.146)	(0.156)	(0.168)	(0.177)	(0.168)	(0.183)
delta_86_90	-0.1548	-0.1639	-0.2224*	-0.2702*	-0.2926*	-0.3092**	-0.3036*	-0.2926*	-0.3198*	-0.3041*	-0.3044*	-0.3176*	-0.3180*	-0.3765***	-0.3850**	-0.4121***
	(0.110)	(0.122)	(0.133)	(0.142)	(0.150)	(0.151)	(0.158)	(0.159)	(0.165)	(0.163)	(0.165)	(0.167)	(0.171)	(0.142)	(0.148)	(0.144)
state2	-0.0946***	-0.1221***	-0.0857***	-0.0713**	-0.0714***	-0.0417*	-0.0472**	-0.0831***	-0.0729***	-0.0810***	-0.1000***	-0.0718***	-0.0493*	-0.0601**	-0.1082***	-0.1321***
	(0.009)	(0.012)	(0.014)	(0.032)	(0.024)	(0.023)	(0.023)	(0.023)	(0.024)	(0.022)	(0.025)	(0.024)	(0.027)	(0.027)	(0.033)	(0.031)
state3	-0.1249***	-0.2726***	-0.1050***	-0.0688*	-0.1772***	-0.1536***	-0.1995**	-0.1596**	-0.1415**	-0.1580***	-0.1811***	-0.1815***	-0.1669***	-0.1186***	-0.1863***	-0.1842***
	(0.040)	(0.054)	(0.039)	(0.037)	(0.050)	(0.058)	(0.079)	(0.064)	(0.056)	(0.056)	(0.056)	(0.051)	(0.046)	(0.040)	(0.057)	(0.052)
state4	-0.0980***	-0.0552**	-0.0433	-0.0308	-0.0406	-0.0476	-0.0271	-0.1469***	-0.1366***	-0.1313***	-0.1836***	-0.1655***	-0.1667***	-0.1516***	-0.1684***	-0.2068***
	(0.024)	(0.027)	(0.030)	(0.032)	(0.035)	(0.034)	(0.034)	(0.036)	(0.043)	(0.037)	(0.036)	(0.036)	(0.037)	(0.030)	(0.032)	(0.031)
state5	-0.1613***	-0.1813***	-0.1696***	-0.1464***	-0.1509***	-0.1611***	-0.1487***	-0.1477***	-0.1050***	-0.1030***	-0.1129**	-0.0983**	-0.0831*	-0.0654	-0.1014*	-0.1509**
	(0.024)	(0.022)	(0.022)	(0.018)	(0.024)	(0.032)	(0.026)	(0.029)	(0.038)	(0.038)	(0.044)	(0.045)	(0.048)	(0.048)	(0.052)	(0.058)
state6	-0.0139	-0.1619***	-0.0763*	-0.0453	-0.0754	-0.0798	-0.1511***	-0.1895***	-0.1332**	-0.1346**	-0.1520**	-0.1288**	-0.1051*	-0.1067*	-0.1240**	-0.1559***
	(0.034)	(0.039)	(0.044)	(0.051)	(0.052)	(0.053)	(0.057)	(0.058)	(0.061)	(0.057)	(0.060)	(0.061)	(0.063)	(0.055)	(0.058)	(0.057)
o.state7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																
