	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)
	(0.025)	(0.033)	(0.028)	(0.037)	(0.042)	(0.045)	(0.047)	(0.051)	(0.050)	(0.049)	(0.050)	(0.046)	(0.049)	(0.047)	(0.048)	(0.046)	(0.049)	(0.049)
state13	0.1201***	-0.0422*	-0.0679**	-0.0047	0.0320	0.0374	0.0444	0.0671	0.0844	0.0838	0.1258**	0.1043**	0.1038**	0.1090**	0.1096**	0.1361***	0.1018*	0.0355
	(0.020)	(0.022)	(0.029)	(0.035)	(0.045)	(0.049)	(0.052)	(0.056)	(0.055)	(0.051)	(0.050)	(0.049)	(0.052)	(0.051)	(0.050)	(0.047)	(0.054)	(0.053)
state14	0.0957***	-0.0155	-0.0945***	-0.1180***	-0.0495	-0.0483*	-0.0037	-0.0058	0.0112	0.0058	0.0809**	0.0818***	0.0749**	0.0987***	0.0850***	0.0946***	0.0820**	0.0020
	(0.012)	(0.015)	(0.027)	(0.023)	(0.037)	(0.028)	(0.030)	(0.033)	(0.032)	(0.031)	(0.031)	(0.029)	(0.031)	(0.030)	(0.031)	(0.031)	(0.032)	(0.033)
state15	0.1282***	-0.0174	-0.1092**	-0.0970**	-0.0093	0.0312	0.0157	0.0261	0.0660	0.0402	0.0741	0.0725	0.0968	0.1083	0.1379	0.1468	0.1394	0.0381
	(0.043)	(0.047)	(0.043)	(0.046)	(0.054)	(0.065)	(0.066)	(0.075)	(0.079)	(0.094)	(0.103)	(0.083)	(0.087)	(0.098)	(0.097)	(0.111)	(0.104)	(0.116)
state16	0.1331***	-0.0688**	-0.1133***	-0.0633	-0.0121	0.0057	0.0041	0.0365	0.0703	0.0476	0.1050*	0.0977*	0.1082*	0.1030*	0.1080*	0.1281**	0.0961	0.0131
	(0.018)	(0.029)	(0.036)	(0.042)	(0.049)	(0.052)	(0.054)	(0.058)	(0.060)	(0.058)	(0.060)	(0.055)	(0.057)	(0.055)	(0.057)	(0.054)	(0.059)	(0.059)
state17	0.1294***	-0.0579*	-0.0514	-0.0237	0.0614	0.0724	0.0881	0.1155*	0.1385**	0.1253**	0.1616***	0.1560***	0.1593***	0.1493***	0.1662***	0.1934***	0.1595***	0.0831
	(0.020)	(0.030)	(0.036)	(0.044)	(0.050)	(0.051)	(0.054)	(0.059)	(0.056)	(0.056)	(0.056)	(0.052)	(0.054)	(0.053)	(0.055)	(0.052)	(0.054)	(0.054)
state18	0.0699**	-0.0927***	-0.0773**	-0.0526	0.0053	0.0303	0.0496	0.0434	0.0679	0.0593	0.0965*	0.0930*	0.1007*	0.1182**	0.1303**	0.1561***	0.1139**	0.0382
	(0.027)	(0.032)	(0.036)	(0.039)	(0.044)	(0.048)	(0.050)	(0.056)	(0.053)	(0.052)	(0.053)	(0.050)	(0.053)	(0.050)	(0.051)	(0.048)	(0.051)	(0.051)
