	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
	(0.019)	(0.019)	(0.024)	(0.026)	(0.026)	(0.030)	(0.031)	(0.042)	(0.048)	(0.038)	(0.040)	(0.049)	(0.050)	(0.057)	(0.050)	(0.058)
state16	-0.1355***	-0.1180***	-0.1089***	-0.1135***	-0.1297***	-0.1111***	-0.0880***	-0.0994***	-0.0447	-0.0471*	-0.0364	-0.0337	-0.0208	-0.0090	-0.0388	-0.0858***
	(0.022)	(0.024)	(0.029)	(0.023)	(0.024)	(0.023)	(0.025)	(0.025)	(0.028)	(0.027)	(0.027)	(0.028)	(0.027)	(0.026)	(0.025)	(0.027)
state17	-0.0953***	-0.1022***	-0.0644***	-0.0788***	-0.0845***	-0.0723***	-0.0633***	-0.0663***	-0.0313	-0.0319	-0.0258	-0.0279	0.0009	0.0181	-0.0142	-0.0537**
	(0.020)	(0.019)	(0.020)	(0.018)	(0.020)	(0.021)	(0.021)	(0.019)	(0.020)	(0.022)	(0.021)	(0.022)	(0.024)	(0.023)	(0.022)	(0.023)
state18	-0.0651*	-0.0720**	-0.0543	-0.0509*	-0.0557*	-0.0774**	-0.0639**	-0.0650***	-0.0280	-0.0314	-0.0181	0.0047	0.0275	0.0475*	0.0075	-0.0346
	(0.037)	(0.032)	(0.033)	(0.029)	(0.029)	(0.031)	(0.026)	(0.022)	(0.024)	(0.023)	(0.024)	(0.024)	(0.022)	(0.024)	(0.023)	(0.023)
state19	-0.0871***	-0.0633**	-0.0153	-0.0193	-0.0232	-0.0025	0.0277	0.0210	0.0567	0.0593	0.0458	0.0402	0.0726	0.0847*	0.0434	-0.0009
	(0.031)	(0.029)	(0.035)	(0.037)	(0.038)	(0.040)	(0.040)	(0.039)	(0.041)	(0.044)	(0.043)	(0.045)	(0.048)	(0.047)	(0.045)	(0.046)
state20	-0.0017	0.0107	0.0403	0.0215	0.0053	-0.0026	-0.0134	-0.0263	-0.0004	-0.0047	-0.0251	-0.0482	-0.0180	-0.0016	-0.0542	-0.1085***
