	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
state13	-0.0145	0.0298	-0.1365***	-0.1159***	-0.1151***	-0.0918***	-0.1113***	-0.1086***	-0.1127***	-0.0855***	-0.0696***	-0.0335***	-0.0544***	-0.0481***	-0.0308***	-0.0200	0.0087	-0.0260	-0.0569***
	(0.011)	(0.019)	(0.013)	(0.014)	(0.015)	(0.020)	(0.021)	(0.018)	(0.018)	(0.013)	(0.014)	(0.013)	(0.020)	(0.018)	(0.012)	(0.014)	(0.019)	(0.018)	(0.020)
state14	0.0118	0.0718***	-0.0059	-0.0757**	-0.1417***	-0.0938***	-0.1184***	-0.0833***	-0.1090***	-0.0840***	-0.0794***	-0.0235	-0.0100	-0.0209	0.0204	0.0096	0.0216	0.0070	-0.0357*
	(0.008)	(0.011)	(0.007)	(0.035)	(0.013)	(0.023)	(0.022)	(0.021)	(0.024)	(0.024)	(0.021)	(0.019)	(0.018)	(0.022)	(0.017)	(0.021)	(0.020)	(0.018)	(0.019)
state15	0.0297	0.0644**	-0.1103***	-0.1682***	-0.1671***	-0.1165***	-0.1586***	-0.1681***	-0.1813***	-0.1490***	-0.1376***	-0.0968***	-0.1083***	-0.0722***	-0.0469	0.0106	0.0024	-0.0081	-0.0580
	(0.080)	(0.030)	(0.014)	(0.012)	(0.011)	(0.012)	(0.013)	(0.013)	(0.017)	(0.021)	(0.029)	(0.033)	(0.022)	(0.024)	(0.033)	(0.036)	(0.052)	(0.046)	(0.056)
state16	-0.0075	0.0448*	-0.1579***	-0.1616***	-0.1536***	-0.1448***	-0.1513***	-0.1771***	-0.1627***	-0.1389***	-0.1479***	-0.0880***	-0.0930***	-0.0781***	-0.0709***	-0.0623***	-0.0472***	-0.0872***	-0.1290***
	(0.022)	(0.024)	(0.028)	(0.022)	(0.024)	(0.027)	(0.019)	(0.023)	(0.020)	(0.019)	(0.019)	(0.018)	(0.018)	(0.017)	(0.018)	(0.018)	(0.018)	(0.016)	(0.017)
state17	-0.0111	0.0165	-0.1661***	-0.1541***	-0.1509***	-0.0997***	-0.1283***	-0.1225***	-0.0939***	-0.0963***	-0.0900***	-0.0545***	-0.0456**	-0.0406**	-0.0385**	-0.0153	0.0019	-0.0319	-0.0618***
	(0.020)	(0.014)	(0.017)	(0.018)	(0.018)	(0.019)	(0.016)	(0.017)	(0.024)	(0.020)	(0.018)	(0.019)	(0.019)	(0.018)	(0.018)	(0.018)	(0.019)	(0.020)	(0.021)
state18	0.0161	-0.0077	-0.1466***	-0.1246***	-0.1171***	-0.0991***	-0.1066***	-0.1053***	-0.1443***	-0.1207***	-0.1142***	-0.0764***	-0.0751***	-0.0617***	-0.0375**	-0.0158	0.0095	-0.0355***	-0.0672***
	(0.012)	(0.021)	(0.029)	(0.031)	(0.023)	(0.023)	(0.018)	(0.018)	(0.022)	(0.017)	(0.016)	(0.014)	(0.014)	(0.015)	(0.016)	(0.016)	(0.011)	(0.010)	(0.011)
state19	-0.0179	0.0226*	-0.1525***	-0.1326***	-0.1052***	-0.0460*	-0.0441	-0.0407	-0.0372	0.0016	0.0176	0.0546**	0.0530**	0.0492**	0.0473*	0.0659**	0.0933***	0.0510*	0.0143
	(0.012)	(0.014)	(0.015)	(0.024)	(0.022)	(0.025)	(0.027)	(0.028)	(0.030)	(0.025)	(0.024)	(0.024)	(0.025)	(0.024)	(0.026)	(0.027)	(0.029)	(0.029)	(0.029)
state20	-0.0227**	0.0118	-0.1241***	-0.0911***	-0.0629***	-0.0095	-0.0224	-0.0215	-0.0349	-0.0185	-0.0169	0.0152	0.0044	-0.0140	-0.0424**	-0.0227	-0.0075	-0.0671***	-0.1074***
	(0.011)	(0.013)	(0.016)	(0.021)	(0.018)	(0.021)	(0.019)	(0.020)	(0.022)	(0.018)	(0.019)	(0.019)	(0.019)	(0.019)	(0.020)	(0.022)	(0.022)	(0.020)	(0.022)
state21	0.0041	-0.0165	-0.1255***	-0.0951***	-0.0715***	-0.0192	-0.0162	-0.0207	-0.0152	-0.0219	-0.0114	0.0364	0.0372	0.0376	0.0296	0.0503	0.0748**	0.0370	0.0146
	(0.009)	(0.015)	(0.021)	(0.020)	(0.021)	(0.019)	(0.021)	(0.023)	(0.021)	(0.024)	(0.024)	(0.025)	(0.025)	(0.027)	(0.029)	(0.032)	(0.029)	(0.031)	(0.032)
state22	-0.0047	0.0077	-0.1105***	-0.0692***	-0.0598***	-0.0158	-0.0569**	-0.0737***	-0.1002***	-0.0737**	-0.0598**	-0.0044	-0.0025	0.0031	-0.0076	0.0084	0.0394	-0.0100	-0.0282
	(0.027)	(0.032)	(0.018)	(0.018)	(0.020)	(0.021)	(0.024)	(0.026)	(0.030)	(0.029)	(0.028)	(0.027)	(0.028)	(0.029)	(0.030)	(0.030)	(0.028)	(0.026)	(0.027)
state23	0.0384***	0.0422***	-0.1120***	-0.0828***	-0.0765***	-0.0233*	-0.0279**	-0.0303**	-0.0448***	-0.0253*	-0.0118	0.0327**	0.0384***	0.0171	-0.0108	0.0022	0.0174	-0.0439***	-0.0854***
	(0.005)	(0.009)	(0.010)	(0.012)	(0.011)	(0.013)	(0.013)	(0.014)	(0.015)	(0.014)	(0.014)	(0.014)	(0.014)	(0.014)	(0.014)	(0.015)	(0.014)	(0.013)	(0.014)
state24	-0.0278***	0.0362***	-0.0902***	-0.0872***	-0.0908***	-0.0113	-0.0108	-0.0289**	-0.0173	-0.0288**	-0.0176	0.0130	0.0221*	0.0230**	0.0103	0.0175	0.0636***	0.0226**	-0.0044
	(0.003)	(0.007)	(0.011)	(0.008)	(0.011)	(0.013)	(0.013)	(0.014)	(0.013)	(0.013)	(0.011)	(0.012)	(0.012)	(0.011)	(0.011)	(0.011)	(0.010)	(0.011)	(0.011)
state25	-0.0464***	0.0669***	-0.0583***	-0.0267	-0.0606***	-0.0043	-0.0115*	-0.0035	0.0043	0.0269	0.0446***	0.1013***	0.1191***	0.1168***	0.1224***	0.1404***	0.1525***	0.1178***	0.0743***
	(0.005)	(0.017)	(0.008)	(0.021)	(0.005)	(0.006)	(0.006)	(0.009)	(0.010)	(0.019)	(0.016)	(0.024)	(0.026)	(0.020)	(0.012)	(0.012)	(0.013)	(0.010)	(0.012)
state26	-0.0642***	-0.0171	-0.1513***	-0.1472***	-0.1810***	-0.1664***	-0.1657***	-0.1589***	-0.1800***	-0.1185***	-0.1053***	-0.0717***	-0.0724***	-0.0531**	-0.0444	-0.0169	0.0004	-0.0327	-0.0631**
	(0.013)	(0.026)	(0.010)	(0.015)	(0.012)	(0.017)	(0.018)	(0.021)	(0.018)	(0.023)	(0.023)	(0.020)	(0.021)	(0.024)	(0.027)	(0.029)	(0.023)	(0.026)	(0.029)
state27	-0.0764***	0.0679***	0.0370	-0.0158	-0.0022	0.0120	0.1103***	0.0484	-0.0448	-0.0707**	-0.0344	0.0031	-0.0038	0.0068	-0.0108	0.0099	0.0200	-0.0302	-0.0538*
	(0.010)	(0.020)	(0.023)	(0.026)	(0.024)	(0.028)	(0.030)	(0.031)	(0.032)	(0.033)	(0.032)	(0.032)	(0.032)	(0.033)	(0.033)	(0.034)	(0.030)	(0.030)	(0.031)
Constant	-0.0017	-0.2022***	0.0064*	-0.0487***	-0.0420***	-0.1114***	-0.1315***	-0.1404***	-0.1710***	-0.2509***	-0.2636***	-0.3194***	-0.3169***	-0.3494***	-0.3764***	-0.3857***	-0.3856***	-0.3620***	-0.3119***
	(0.003)	(0.004)	(0.004)	(0.005)	(0.005)	(0.006)	(0.005)	(0.005)	(0.007)	(0.005)	(0.004)	(0.004)	(0.004)	(0.004)	(0.005)	(0.005)	(0.005)	(0.005)	(0.006)
																			
Observations	475	475	475	475	475	475	475	475	475	475	475	475	475	475	475	475	475	475	475
R-squared	0.233	0.141	0.262	0.199	0.221	0.273	0.270	0.258	0.236	0.249	0.294	0.347	0.384	0.435	0.537	0.558	0.592	0.628	0.645
Robust standard errors in parentheses																			
*** p<0.01, ** p<0.05, * p<0.1																			
