	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
	(0.017)	(0.041)	(0.057)	(0.056)	(0.059)	(0.091)	(0.095)	(0.096)	(0.089)	(0.092)	(0.109)	(0.112)	(0.132)	(0.137)	(0.130)	(0.136)	(0.159)	(0.152)	(0.155)
state14	0.1814*	-0.0857	-0.1057	-0.1713	-0.1682***	-0.2816*	-0.3591***	-0.4136***	-0.5336***	-0.5384***	-0.5104***	-0.4583***	-0.4745***	-0.5777***	-0.5421***	-0.5320***	-0.5588***	-0.6430***	-0.6584***
	(0.106)	(0.080)	(0.073)	(0.113)	(0.052)	(0.147)	(0.044)	(0.058)	(0.046)	(0.065)	(0.044)	(0.059)	(0.118)	(0.052)	(0.049)	(0.067)	(0.079)	(0.084)	(0.104)
state15	0.1536***	0.0052	-0.2819***	-0.1599	-0.1926	-0.3499	-0.2393	-0.2566	-0.3297	-0.2993	-0.2786*	-0.2915	-0.3125	-0.2715**	-0.2700**	-0.2236*	-0.1787	-0.2482*	-0.1799
	(0.028)	(0.072)	(0.064)	(0.187)	(0.181)	(0.246)	(0.235)	(0.231)	(0.200)	(0.191)	(0.164)	(0.176)	(0.192)	(0.132)	(0.124)	(0.133)	(0.140)	(0.141)	(0.136)
state16	0.2066***	0.0703	-0.0116	-0.1089***	-0.1036***	-0.2629***	-0.2161***	-0.1970***	-0.2096**	-0.2205***	-0.2295***	-0.1803*	-0.1895*	-0.1470	-0.1878*	-0.2165**	-0.2261**	-0.2813**	-0.2897**
	(0.043)	(0.048)	(0.067)	(0.041)	(0.037)	(0.059)	(0.056)	(0.071)	(0.084)	(0.082)	(0.086)	(0.092)	(0.100)	(0.112)	(0.099)	(0.105)	(0.110)	(0.114)	(0.123)
state17	0.0934***	-0.0338	-0.1036***	-0.0862*	-0.0292	-0.2069***	-0.1705***	-0.2061***	-0.3081***	-0.2995***	-0.2980***	-0.3085***	-0.3222***	-0.3404***	-0.3528***	-0.3863***	-0.3870***	-0.4831***	-0.5251***
	(0.013)	(0.028)	(0.039)	(0.048)	(0.048)	(0.053)	(0.058)	(0.054)	(0.055)	(0.056)	(0.055)	(0.059)	(0.062)	(0.058)	(0.058)	(0.060)	(0.062)	(0.062)	(0.064)
state18	0.0991***	0.0451	0.0160	0.1413	0.1751	-0.0600	-0.0309	-0.0295	-0.1000	-0.0812	-0.0838	-0.1129	-0.0938	-0.0807	-0.0931	-0.1484	-0.1694	-0.2753	-0.3221
	(0.025)	(0.067)	(0.056)	(0.162)	(0.166)	(0.186)	(0.186)	(0.183)	(0.171)	(0.185)	(0.181)	(0.181)	(0.175)	(0.192)	(0.208)	(0.210)	(0.215)	(0.221)	(0.219)
state19	0.0694***	-0.0427*	-0.1250***	-0.1540**	-0.0158	-0.2676***	-0.2320***	-0.2866***	-0.4191***	-0.3721***	-0.3686***	-0.3584***	-0.3812***	-0.3958***	-0.3958***	-0.4531***	-0.4737***	-0.5572***	-0.5948***
	(0.016)	(0.024)	(0.041)	(0.073)	(0.070)	(0.072)	(0.070)	(0.077)	(0.078)	(0.079)	(0.082)	(0.090)	(0.098)	(0.095)	(0.100)	(0.108)	(0.121)	(0.118)	(0.127)
state20	0.1537***	0.0423	-0.0781**	-0.0563	0.0097	-0.1785***	-0.1789***	-0.2611***	-0.3715***	-0.3349***	-0.3562***	-0.3815***	-0.3720***	-0.4100***	-0.4084***	-0.4234***	-0.4386***	-0.5316***	-0.5969***
	(0.025)	(0.028)	(0.037)	(0.054)	(0.057)	(0.068)	(0.068)	(0.069)	(0.075)	(0.075)	(0.078)	(0.084)	(0.086)	(0.084)	(0.085)	(0.089)	(0.088)	(0.090)	(0.086)
state21	0.1296***	-0.0129	-0.0958**	-0.1724***	-0.1206*	-0.3086***	-0.2338***	-0.2997***	-0.4100***	-0.3783***	-0.3799***	-0.3580***	-0.3688***	-0.4006***	-0.4348***	-0.4584***	-0.4797***	-0.5934***	-0.6442***
	(0.023)	(0.025)	(0.039)	(0.059)	(0.064)	(0.063)	(0.073)	(0.064)	(0.065)	(0.061)	(0.060)	(0.061)	(0.063)	(0.060)	(0.063)	(0.069)	(0.071)	(0.076)	(0.073)
state22	0.0991***	0.0254	-0.0838**	-0.0845	0.0078	-0.1516*	-0.1344	-0.1938**	-0.2668***	-0.2196***	-0.2011**	-0.2121**	-0.2054**	-0.2234**	-0.2405***	-0.2741***	-0.2958***	-0.3825***	-0.4281***
	(0.024)	(0.023)	(0.038)	(0.055)	(0.066)	(0.080)	(0.094)	(0.076)	(0.078)	(0.080)	(0.080)	(0.086)	(0.086)	(0.086)	(0.088)	(0.091)	(0.095)	(0.101)	(0.102)
state23	0.1644***	0.0497***	-0.0912***	-0.1713***	-0.1874***	-0.4077***	-0.3842***	-0.4194***	-0.5577***	-0.5323***	-0.5838***	-0.5897***	-0.6188***	-0.6809***	-0.7116***	-0.7675***	-0.7717***	-0.8663***	-0.9075***
	(0.015)	(0.017)	(0.031)	(0.049)	(0.049)	(0.056)	(0.059)	(0.057)	(0.059)	(0.059)	(0.059)	(0.062)	(0.064)	(0.062)	(0.061)	(0.062)	(0.065)	(0.065)	(0.064)
state24	0.1682***	0.1475***	0.0489*	0.0334	0.0376	-0.1258	-0.0730	-0.1174	-0.1517	-0.1624	-0.1455	-0.0924	-0.0911	-0.1452	-0.1567	-0.1734	-0.1882	-0.3190**	-0.3498*
	(0.014)	(0.030)	(0.029)	(0.066)	(0.059)	(0.086)	(0.099)	(0.095)	(0.112)	(0.116)	(0.099)	(0.120)	(0.128)	(0.120)	(0.122)	(0.126)	(0.142)	(0.156)	(0.179)
state25	0.2464***	0.1513***	0.1553	0.2375**	0.3473***	0.2337**	0.3218***	0.3315***	0.3332***	0.3921***	0.4525***	0.5469***	0.6656***	0.5898***	0.5498***	0.5907***	0.6310***	0.5566***	0.5291***
	(0.024)	(0.042)	(0.101)	(0.119)	(0.121)	(0.111)	(0.122)	(0.108)	(0.104)	(0.132)	(0.147)	(0.149)	(0.137)	(0.121)	(0.103)	(0.121)	(0.130)	(0.122)	(0.129)
state26	0.0888	-0.0039	-0.0742	0.0283	0.1094	-0.0271	-0.0459	-0.0346	-0.0416	-0.0120	-0.0540	-0.0210	0.0009	0.0068	0.0054	0.0081	0.0084	-0.0761	-0.1107
	(0.068)	(0.089)	(0.102)	(0.071)	(0.071)	(0.106)	(0.147)	(0.128)	(0.117)	(0.114)	(0.146)	(0.155)	(0.159)	(0.159)	(0.158)	(0.157)	(0.163)	(0.160)	(0.162)
state27	0.1365***	0.0167*	-0.1222***	-0.1839***	-0.1452***	-0.4021***	-0.2499***	-0.3112***	-0.5057***	-0.4959***	-0.5180***	-0.5219***	-0.5417***	-0.5402***	-0.5498***	-0.6106***	-0.6020***	-0.6830***	-0.7055***
	(0.008)	(0.010)	(0.018)	(0.030)	(0.029)	(0.033)	(0.034)	(0.033)	(0.034)	(0.034)	(0.033)	(0.034)	(0.035)	(0.034)	(0.034)	(0.035)	(0.036)	(0.036)	(0.035)
Constant	-0.1087***	0.0347**	0.2551***	0.4414***	0.4812***	0.7805***	0.7852***	0.8553***	0.9811***	1.0449***	1.1453***	1.1919***	1.2947***	1.3524***	1.4245***	1.5292***	1.6041***	1.7512***	1.8491***
	(0.013)	(0.015)	(0.024)	(0.039)	(0.039)	(0.042)	(0.042)	(0.041)	(0.043)	(0.043)	(0.043)	(0.044)	(0.046)	(0.045)	(0.044)	(0.045)	(0.045)	(0.046)	(0.045)
																			
Observations	475	475	475	475	475	475	475	475	475	475	475	475	475	475	475	475	475	475	475
R-squared	0.290	0.285	0.211	0.172	0.193	0.214	0.226	0.252	0.272	0.285	0.326	0.327	0.348	0.357	0.354	0.369	0.357	0.382	0.390
Robust standard errors in parentheses																			
*** p<0.01, ** p<0.05, * p<0.1																			
