	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)
VARIABLES	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
																			
rtr_kume_main	-0.4352	-0.5228	-1.0673**	-1.1570	-2.3410**	-2.2283**	-2.8010***	-3.0509***	-3.3925***	-3.7878***	-3.9951***	-4.2443***	-4.6922***	-4.6872***	-4.6144***	-4.4239***	-4.4977***	-4.5220***	-4.5369***
state10	0.0081	-0.0345	0.0193	-0.1895	0.2187	-0.1320	-0.0087	0.1333	0.4130	0.2441	0.1665	0.2176	0.2136	0.2689	0.3073	0.2386	0.2229	0.0585	0.0811
	(0.091)	(0.131)	(0.166)	(0.307)	(0.358)	(0.353)	(0.341)	(0.336)	(0.341)	(0.303)	(0.260)	(0.244)	(0.251)	(0.255)	(0.241)	(0.242)	(0.245)	(0.239)	(0.257)
state11	-0.0590	-0.1099	0.0148	-0.1758	0.0391	-0.2651	-0.0680	-0.0730	0.1066	0.1325	0.0868	0.1787	0.2647	0.2945	0.2715	0.1333	0.1212	-0.0422	-0.0852
	(0.077)	(0.156)	(0.165)	(0.270)	(0.307)	(0.333)	(0.306)	(0.301)	(0.302)	(0.276)	(0.270)	(0.262)	(0.277)	(0.274)	(0.261)	(0.255)	(0.256)	(0.262)	(0.274)
state12	0.0157	-0.2651**	-0.2812**	-0.2346	-0.1025	-0.4131	-0.2295	-0.1472	-0.0764	-0.1585	-0.3063	-0.2793	-0.2503	-0.1519	-0.1537	-0.2129	-0.1311	-0.3717	-0.3286
	(0.077)	(0.125)	(0.140)	(0.229)	(0.303)	(0.279)	(0.254)	(0.268)	(0.281)	(0.237)	(0.225)	(0.210)	(0.215)	(0.239)	(0.213)	(0.222)	(0.259)	(0.229)	(0.269)
state13	-0.0003	-0.0654	-0.0167	-0.3845*	-0.1765	-0.5375**	-0.3647	-0.3628	-0.2666	-0.2838	-0.4028*	-0.3570*	-0.2995	-0.1924	-0.1818	-0.2500	-0.1801	-0.3298	-0.3104
	(0.068)	(0.122)	(0.133)	(0.221)	(0.274)	(0.256)	(0.240)	(0.243)	(0.245)	(0.219)	(0.204)	(0.188)	(0.211)	(0.225)	(0.210)	(0.212)	(0.231)	(0.218)	(0.235)
state14	0.1025	-0.1004	0.0420	-0.3774	-0.1772	-0.5173**	-0.4527**	-0.4007*	-0.3655*	-0.3920*	-0.4752***	-0.3616**	-0.3404	-0.3917**	-0.3765**	-0.3956**	-0.4186**	-0.5948***	-0.6354***
	(0.147)	(0.139)	(0.147)	(0.236)	(0.249)	(0.231)	(0.205)	(0.212)	(0.213)	(0.207)	(0.180)	(0.165)	(0.222)	(0.185)	(0.171)	(0.179)	(0.187)	(0.183)	(0.201)
