	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	All	Traded	Manuf	Primary	Traded / FE	Manuf / FE	Primary / FE
							
o.indFE9							-
							
o.indFE10							-
							
o.indFE11							-
							
o.indFE12							-
							
o.indFE13							-
							
o.indFE14							-
							
Constant	2.3727***	2.4710***	1.8731***	2.8671***	1.1371***	2.1497***	1.9712***
	(0.044)	(0.054)	(0.121)	(0.031)	(0.171)	(0.139)	(0.048)
							
Observations	4,648	4,174	3,450	724	4,174	3,450	724
R-squared	0.119	0.120	0.103	0.384	0.222	0.189	0.384
Robust standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
